iter	Passed	Remaining
0	5	2509
1	9	2485
2	15	2591
3	20	2540
4	25	2522
5	30	2521
6	35	2484
7	40	2490
8	46	2521
9	50	2490
10	55	2474
11	60	2465
12	65	2441
13	71	2493
14	76	2470
15	81	2454
16	86	2453
17	90	2427
18	95	2424
19	100	2414
20	105	2398
21	108	2368
22	113	2358
23	118	2340
24	122	2333
25	128	2343
26	133	2331
27	138	2328
28	143	2324
29	147	2313
30	153	2315
31	157	2307
32	162	2303
33	167	2292
34	171	2282
35	176	2274
36	181	2265
37	186	2262
38	190	2249
39	194	2242
40	199	2233
41	203	2219
42	207	2208
43	212	2198
44	216	2188
45	220	2174
46	224	2165
47	228	2152
48	231	2135
49	236	2126
50	240	2120
51	244	2107
52	249	2101
53	253	2093
54	257	2083
55	261	2076
56	267	2075
57	272	2076
58	276	2068
59	281	2063
60	285	2054
61	289	2046
62	293	2037
63	298	2031
64	302	2024
65	306	2017
66	311	2010
67	315	2004
68	319	1997
69	324	1991
70	328	1984
71	332	1976
72	337	1972
73	341	1964
74	345	1959
75	350	1954
76	355	1951
77	359	1947
78	363	1938
79	368	1933
80	372	1928
81	377	1923
82	381	1917
83	386	1912
84	391	1909
85	395	1905
86	400	1899
87	404	1893
88	408	1887
89	412	1881
90	417	1877
91	421	1870
92	425	1864
93	430	1859
94	435	1857
95	439	1851
96	444	1847
97	449	1843
98	454	1840
99	458	1834
100	462	1828
101	467	1826
102	475	1831
103	480	1828
104	485	1825
105	490	1821
106	494	1817
107	499	1812
108	503	1805
109	507	1800
110	511	1793
111	515	1787
112	520	1781
113	525	1778
114	528	1770
115	532	1764
116	536	1756
117	540	1749
118	544	1742
119	548	1736
120	551	1728
121	555	1722
122	559	1715
123	564	1712
124	568	1705
125	572	1699
126	576	1692
127	580	1687
128	584	1679
129	588	1674
130	592	1669
131	596	1664
132	601	1659
133	605	1653
134	609	1647
135	613	1640
136	616	1634
137	620	1627
138	623	1620
139	627	1614
140	631	1607
141	635	1602
142	639	1595
143	643	1590
144	647	1584
145	651	1578
146	654	1572
147	659	1567
148	663	1561
149	667	1557
150	670	1550
151	674	1545
152	678	1538
153	682	1533
154	685	1526
155	689	1520
156	693	1515
157	698	1511
158	702	1505
159	706	1500
160	709	1494
161	713	1488
